time_sec,odom_distance,net_displacement,coverage_proxy,explored_points,occupancy_points,global_cloud_points,frontier_candidates,frontier_viewpoints,goal_count,unique_goal_count,trajectory_count,planner_pos_cmd_count,stuck_event_count
0.06659722328186035,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
1.0787498950958252,0.0,0.0,1363.0,1363,188,0,119,46,2,1,12,11,0
2.081415891647339,0.0,0.0,0.10035340892357532,1363,188,13582,119,46,4,1,32,29,0
3.113321304321289,0.0,0.0,0.10035340892357532,1363,188,13582,119,46,6,1,54,49,0
4.113825082778931,0.0,0.0,0.10035340892357532,1363,188,13582,119,46,8,1,76,69,0
5.144521951675415,0.0,0.0,0.10035340892357532,1363,188,13582,119,46,10,1,98,89,0
6.144772529602051,0.0,0.0,0.10035340892357532,1363,188,13582,119,46,12,1,120,109,0
7.147053003311157,0.0,0.0,0.10035340892357532,1363,188,13582,119,46,14,1,142,129,0
8.147341251373291,0.006023031868892748,0.006023031868892748,0.10035340892357532,1363,188,13582,119,46,16,1,164,149,0
9.148224592208862,0.5632525636114638,0.563234883464676,0.10042703578265351,1364,189,13582,119,46,18,1,186,169,0
10.148308753967285,1.6816629215160233,1.6146085185806924,0.10167869238698277,1381,193,13582,121,50,20,1,208,189,0
11.165398120880127,2.162579077489853,2.089626162520611,0.10801060226770726,1467,212,13582,115,46,22,2,231,209,0
12.166893243789673,2.403395417487849,2.3184727457684127,0.10808422912678545,1468,213,13582,115,46,24,2,253,230,0
13.16743779182434,2.58291358477904,2.481052967744679,0.10977764688558386,1491,215,13582,125,44,26,2,275,250,0
14.16925859451294,2.6396801964753656,2.5327571514057285,0.10985127374466205,1492,216,13582,124,45,28,2,298,270,0
15.16952395439148,2.6563299533483034,2.547962964217278,0.10985127374466205,1492,216,13582,124,45,30,2,320,291,0
16.170896768569946,2.6612062643354752,2.5524197908055277,0.10985127374466205,1492,216,13582,124,45,32,2,342,311,0
17.17814803123474,2.662653700962252,2.5537430068435456,0.10985127374466205,1492,216,13582,124,45,34,2,364,331,0
18.179651498794556,2.663054867227601,2.554109768432068,0.10985127374466205,1492,216,13582,124,45,36,2,386,351,0
19.180296897888184,2.663172596966511,2.554217403438708,0.10985127374466205,1492,216,13582,124,45,38,2,408,371,0
20.211793899536133,2.6632077006684263,2.554249497347332,0.10985127374466205,1492,216,13582,124,45,40,2,430,391,0
21.211880207061768,2.6632173840862494,2.554258350522325,0.10985127374466205,1492,216,13582,124,45,42,2,452,411,0
22.212841987609863,2.663220218181763,2.554260941627553,0.10985127374466205,1492,216,13582,124,45,44,2,474,431,0
23.213329315185547,2.6632210483395524,2.5542617006091954,0.10985127374466205,1492,216,13582,124,45,46,2,496,451,0
24.215697288513184,2.66322129094669,2.5542619224156677,0.10985127374466205,1492,216,13582,124,45,48,2,518,471,0
25.22495746612549,2.663221362210041,2.5542619875690376,0.10985127374466205,1492,216,13582,124,45,50,2,540,491,0
26.246692419052124,2.6632213834402343,2.5542620069789956,0.10985127374466205,1492,216,13582,124,45,52,2,562,511,0
27.24814796447754,2.6632213893046583,2.554262012340616,0.10985127374466205,1492,216,13582,124,45,54,2,584,531,0
28.248323678970337,2.6632213910233236,2.554262013911926,0.10985127374466205,1492,216,13582,124,45,56,2,606,551,0
29.249876976013184,2.663221391527854,2.5542620143731996,0.10985127374466205,1492,216,13582,124,45,58,2,628,571,0
30.26144504547119,2.663221391675383,2.5542620145080797,0.10985127374466205,1492,216,13582,124,45,60,2,650,591,0
31.263060569763184,2.663221391718568,2.554262014547562,0.10985127374466205,1492,216,13582,124,45,62,2,672,611,1
32.264222860336304,2.6632213917312018,2.554262014559113,0.10985127374466205,1492,216,13582,124,45,64,2,694,632,1
33.265939712524414,2.663221391734909,2.5542620145625023,0.10985127374466205,1492,216,13582,124,45,66,2,717,651,1
34.27684164047241,2.6632213917359846,2.554262014563488,0.10985127374466205,1492,216,13582,124,45,68,2,730,663,1
35.27753829956055,2.6632213917363052,2.5542620145637818,0.10985127374466205,1492,216,13582,124,45,70,2,752,683,1
36.27786445617676,2.663221391736393,2.5542620145638626,0.10985127374466205,1492,216,13582,124,45,72,3,772,703,2
37.278398275375366,2.6632213917364185,2.5542620145638857,0.10985127374466205,1492,216,13582,124,45,75,3,792,723,2
38.2799289226532,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,76,3,812,743,2
39.28036570549011,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,79,3,832,763,2
40.28110980987549,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,81,3,852,783,2
41.3510262966156,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,83,3,872,803,3
42.35286211967468,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,85,3,892,823,3
43.366185665130615,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,87,3,913,843,3
44.366260051727295,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,89,3,932,863,3
45.36842346191406,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,91,3,953,884,3
46.37880825996399,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,93,3,974,905,4
47.38147974014282,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,95,3,994,925,4
48.381967544555664,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,97,3,1014,945,4
49.3826367855072,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,99,3,1034,965,4
50.41266179084778,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,101,3,1054,985,4
51.41272783279419,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,103,3,1074,1005,5
52.41520690917969,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,105,3,1094,1025,5
53.44725322723389,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,107,3,1114,1045,5
54.464895725250244,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,109,3,1135,1065,5
55.466408252716064,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,111,3,1155,1085,6
56.46816802024841,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,113,3,1176,1106,6
57.46893048286438,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,115,3,1196,1127,6
58.47162365913391,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,117,3,1216,1147,6
59.47821569442749,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,119,3,1236,1167,6
60.48096251487732,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,121,3,1256,1187,7
61.48147416114807,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,123,4,1276,1207,7
62.5119309425354,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,125,4,1296,1227,7
63.51427102088928,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,127,4,1316,1247,7
64.51445031166077,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,129,4,1336,1267,7
65.54446458816528,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,131,4,1356,1287,8
66.54683065414429,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,133,4,1376,1307,8
67.54731965065002,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,135,4,1396,1327,8
68.54766416549683,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,137,4,1418,1347,8
69.54777503013611,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,139,4,1438,1367,8
70.54780292510986,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,141,4,1458,1387,9
71.56383538246155,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,143,4,1479,1407,9
72.56478238105774,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,145,4,1499,1427,9
73.56618285179138,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,147,4,1519,1447,9
74.56681537628174,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,149,4,1540,1468,9
75.56857109069824,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,151,4,1562,1489,10
76.56932187080383,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,153,4,1582,1509,10
77.57717156410217,2.6632213917364247,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,155,4,1602,1529,10
78.57771682739258,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,157,4,1622,1549,10
79.57782530784607,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,159,4,1642,1569,10
80.57922720909119,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,161,4,1662,1589,11
81.58045196533203,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,163,4,1682,1609,11
82.62481546401978,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,165,4,1703,1629,11
83.64469599723816,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,167,4,1724,1649,11
84.64797639846802,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,169,4,1744,1669,11
85.64869332313538,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,171,4,1764,1689,12
86.6643488407135,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,173,4,1785,1709,12
87.66587424278259,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,175,4,1805,1729,12
88.6662609577179,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,177,4,1825,1749,12
89.66702032089233,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,179,4,1846,1770,12
90.66877126693726,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,181,4,1868,1790,13
91.66925597190857,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,183,4,1888,1811,13
92.67009353637695,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,185,4,1908,1830,13
93.67199039459229,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,187,4,1928,1851,13
94.67938899993896,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,189,4,1948,1871,13
95.67962336540222,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,191,4,1968,1891,14
96.68061757087708,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,193,4,1988,1911,14
97.71083807945251,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,195,4,2010,1931,14
98.71170401573181,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,197,4,2030,1951,14
99.71494841575623,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,199,4,2050,1971,14
100.7455325126648,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,201,4,2070,1991,15
101.74699282646179,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,203,4,2090,2011,15
102.74719715118408,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,205,4,2110,2031,15
103.76652812957764,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,207,4,2131,2051,15
104.76688408851624,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,209,4,2153,2072,15
105.76873254776001,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,211,4,2174,2093,16
106.7689561843872,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,213,4,2194,2113,16
107.77135515213013,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,215,4,2214,2132,16
108.77212715148926,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,217,4,2234,2153,16
109.77843642234802,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,219,4,2254,2173,16
110.78066277503967,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,221,4,2274,2193,17
111.78096103668213,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,224,4,2296,2213,17
112.78181147575378,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,226,4,2316,2233,17
113.79898715019226,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,228,4,2336,2253,17
114.8448715209961,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,230,4,2356,2273,17
115.86402463912964,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,232,4,2376,2293,18
116.86593985557556,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,234,4,2398,2314,18
117.86626982688904,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,236,4,2417,2334,18
118.86829805374146,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,238,4,2438,2355,18
119.88379859924316,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,240,4,2458,2373,18
120.91227078437805,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,242,4,2480,2395,19
121.9126136302948,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,244,4,2500,2415,19
122.91472315788269,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,246,4,2520,2435,19
123.91524744033813,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,248,4,2540,2455,19
124.94364881515503,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,250,4,2560,2475,19
125.94529819488525,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,252,4,2580,2495,20
126.94570016860962,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,254,4,2602,2515,20
127.94649338722229,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,256,4,2622,2535,20
128.94664692878723,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,258,4,2642,2555,20
129.96275353431702,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,260,4,2662,2576,20
130.9646668434143,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,262,4,2683,2595,21
131.9659218788147,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,264,4,2703,2616,21
132.96651887893677,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,266,4,2723,2636,21
133.96753454208374,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,268,4,2746,2656,21
134.96853828430176,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,270,4,2766,2676,21
135.96913123130798,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,272,4,2786,2697,22
136.96931886672974,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,274,4,2806,2717,22
137.9700562953949,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,276,4,2826,2737,22
138.97727346420288,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,278,4,2846,2757,22
139.97865438461304,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,280,4,2866,2777,22
140.98044228553772,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,282,4,2888,2797,23
141.98120403289795,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,284,4,2908,2817,23
143.01099252700806,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,286,4,2928,2837,23
144.0125539302826,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,288,4,2948,2857,23
145.0129210948944,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,290,4,2968,2877,23
146.01355123519897,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,292,4,2988,2897,24
147.01384973526,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,294,4,3008,2917,24
148.0140130519867,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,296,4,3030,2937,24
149.01435327529907,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,298,4,3050,2957,24
150.04562735557556,2.663221391736425,2.5542620145638915,0.10985127374466205,1492,216,13582,124,45,300,4,3070,2977,24
